wl_um,n,k
2.1,1.73,0.026
2.11,1.73,0.026
2.12,1.731,0.026
2.13,1.731,0.026
2.14,1.732,0.026
2.15,1.732,0.026
2.16,1.732,0.026
2.17,1.732,0.026
2.18,1.733,0.026
2.19,1.733,0.026
2.2,1.733,0.026
2.21,1.733,0.026
2.22,1.733,0.026
2.23,1.733,0.026
2.24,1.734,0.026
2.25,1.734,0.026
2.26,1.734,0.026
2.27,1.734,0.026
2.28,1.734,0.026
2.29,1.734,0.027
2.3,1.735,0.027
2.31,1.735,0.027
2.32,1.735,0.027
2.33,1.735,0.027
2.34,1.736,0.027
2.35,1.736,0.027
2.36,1.736,0.027
2.37,1.736,0.027
2.38,1.736,0.027
2.39,1.737,0.027
2.4,1.737,0.027
2.41,1.738,0.027
2.42,1.738,0.027
2.43,1.738,0.027
2.44,1.738,0.027
2.45,1.738,0.027
2.46,1.739,0.027
2.47,1.739,0.027
2.48,1.739,0.027
2.49,1.739,0.027
2.5,1.74,0.028
2.51,1.74376190476,0.028
2.52,1.74334375,0.027
2.53,1.745,0.027
2.54,1.745296875,0.027
2.55,1.74515384615,0.0261538461538
2.56,1.74437878788,0.0266212121212
2.57,1.74321212121,0.026
2.58,1.74359701493,0.0264029850746
2.59,1.74658208955,0.0261044776119
2.6,1.74514705882,0.026
2.61,1.74358823529,0.026
2.62,1.74631884058,0.0256811594203
2.63,1.74776811594,0.025
2.64,1.74578571429,0.0242142857143
2.65,1.74564285714,0.0243571428571
2.66,1.74211267606,0.0240563380282
2.67,1.74585915493,0.0245352112676
2.68,1.74713888889,0.0231388888889
2.69,1.7435,0.02175
2.7,1.73647945205,0.021
2.71,1.734,0.022
2.72,1.73435135135,0.0226486486486
2.73,1.73289189189,0.022
2.74,1.73296052632,0.022
2.75,1.73164,0.022
2.76,1.73031578947,0.0213157894737
2.77,1.72605194805,0.021987012987
2.78,1.72514285714,0.022
2.79,1.72415384615,0.0225769230769
2.8,1.72585897436,0.022141025641
2.81,1.72162025316,0.0221265822785
2.82,1.719775,0.0233875
2.83,1.721,0.024
2.84,1.721,0.024
2.85,1.72,0.024
2.86,1.72,0.0243536585366
2.87,1.71943373494,0.025
2.88,1.719,0.025
2.89,1.71997619048,0.025
2.9,1.72016666667,0.025
2.91,1.716,0.0253529411765
2.92,1.71652941176,0.0265294117647
2.93,1.71839534884,0.027
2.94,1.71813953488,0.027
2.95,1.71701149425,0.0270114942529
2.96,1.71784090909,0.028
2.97,1.717,0.0282954545455
2.98,1.71870786517,0.0294269662921
2.99,1.7221011236,0.0294494382022
3,1.72166666667,0.029
3.01,1.72333333333,0.0297777777778
3.02,1.72312087912,0.0291208791209
3.03,1.72106521739,0.0299673913043
3.04,1.72483870968,0.03
3.05,1.72251612903,0.03
3.06,1.72559574468,0.03
3.07,1.72346808511,0.03
3.08,1.72297894737,0.0306526315789
3.09,1.725375,0.031625
3.1,1.726,0.0314166666667
3.11,1.72690721649,0.0315463917526
3.12,1.72751546392,0.031
3.13,1.72751020408,0.031
3.14,1.72852525253,0.0315252525253
3.15,1.73007070707,0.032
3.16,1.73046,0.03146
3.17,1.72892,0.031
3.18,1.72906930693,0.0315346534653
3.19,1.73103921569,0.032
3.2,1.7305,0.0315
3.21,1.729,0.0314757281553
3.22,1.73076923077,0.0324423076923
3.23,1.733,0.0325961538462
3.24,1.7319245283,0.032
3.25,1.73091428571,0.0323047619048
3.26,1.7335046729,0.033
3.27,1.73518691589,0.0328130841121
3.28,1.73587962963,0.032
3.29,1.73490740741,0.032
3.3,1.73305555556,0.032
3.31,1.73652727273,0.0328818181818
3.32,1.73779090909,0.0322090909091
3.33,1.7366,0.032
3.34,1.73480357143,0.0314017857143
3.35,1.73350892857,0.0314910714286
3.36,1.73376106195,0.032
3.37,1.735,0.032
3.38,1.735,0.032
3.39,1.73494827586,0.032
3.4,1.73236206897,0.032
3.41,1.73125862069,0.032
3.42,1.731,0.0325982905983
3.43,1.73281196581,0.033
3.44,1.73469747899,0.033
3.45,1.73442857143,0.033
3.46,1.73694957983,0.033
3.47,1.73618333333,0.033
3.48,1.7347107438,0.033
3.49,1.73306557377,0.033
3.5,1.73256910569,0.0332845528455
3.51,1.73419512195,0.0340975609756
3.52,1.73582113821,0.0349105691057
3.53,1.738848,0.035
3.54,1.738976,0.033976
3.55,1.73738095238,0.0333095238095
3.56,1.73651181102,0.0341023622047
3.57,1.7404488189,0.0348897637795
3.58,1.740328125,0.03365625
3.59,1.73865116279,0.0334496124031
3.6,1.73789230769,0.034
3.61,1.74096923077,0.034
3.62,1.74024427481,0.034
3.63,1.74154545455,0.034
3.64,1.74190909091,0.0337272727273
3.65,1.73902985075,0.0330597014925
3.66,1.7397761194,0.034552238806
3.67,1.74051851852,0.0344814814815
3.68,1.74074074074,0.034
3.69,1.74,0.034
3.7,1.73927007299,0.034
3.71,1.73945652174,0.0344565217391
3.72,1.74054347826,0.0348188405797
3.73,1.7427173913,0.0340942028986
3.74,1.74113571429,0.034
3.75,1.74033333333,0.0343333333333
3.76,1.74104225352,0.0349577464789
3.77,1.74174647887,0.0342535211268
3.78,1.7428951049,0.034
3.79,1.74385416667,0.0338541666667
3.8,1.74315972222,0.0331597222222
3.81,1.74140689655,0.0335310344828
3.82,1.74065753425,0.034
3.83,1.74271232877,0.034
3.84,1.74416216216,0.034
3.85,1.74422972973,0.0337432432432
3.86,1.7422027027,0.0330675675676
3.87,1.7408,0.0336
3.88,1.74052980132,0.034
3.89,1.74185430464,0.034
3.9,1.74317105263,0.034
3.91,1.74424183007,0.034
3.92,1.74489542484,0.034
3.93,1.745,0.034
3.94,1.74480769231,0.0338076923077
3.95,1.74416666667,0.0331666666667
3.96,1.744,0.033
3.97,1.74378481013,0.033
3.98,1.74251898734,0.033
3.99,1.74237106918,0.0333710691824
4,1.743,0.034
4.01,1.74424223602,0.0333788819876
4.02,1.74475925926,0.0327592592593
4.03,1.74414197531,0.0321419753086
4.04,1.74305521472,0.032
4.05,1.742,0.0320853658537
4.06,1.742,0.0326951219512
4.07,1.74230120482,0.033
4.08,1.74290361446,0.033
4.09,1.743,0.033
4.1,1.7430952381,0.033
4.11,1.74369047619,0.033
4.12,1.744,0.0327176470588
4.13,1.744,0.0321294117647
4.14,1.74309302326,0.032
4.15,1.74196531792,0.032
4.16,1.74138728324,0.032
4.17,1.74156896552,0.0321896551724
4.18,1.74329310345,0.0327643678161
4.19,1.74299431818,0.0323295454545
4.2,1.74128977273,0.0311931818182
4.21,1.74146892655,0.0314689265537
4.22,1.74196648045,0.0319664804469
4.23,1.74140782123,0.0314078212291
4.24,1.7407,0.03115
4.25,1.73958888889,0.0317055555556
4.26,1.73874175824,0.032
4.27,1.73819230769,0.032
4.28,1.73835519126,0.0323551912568
4.29,1.73890163934,0.0329016393443
4.3,1.73988648649,0.0325567567568
4.31,1.74096756757,0.0320162162162
4.32,1.74048128342,0.032
4.33,1.73989361702,0.032
4.34,1.73882978723,0.032
4.35,1.73811578947,0.032
4.36,1.73864210526,0.032
4.37,1.73883333333,0.032
4.38,1.7383125,0.032
4.39,1.738,0.032
4.4,1.738,0.032
4.41,1.738,0.032
4.42,1.738,0.032
4.43,1.73773469388,0.0317346938776
4.44,1.7372244898,0.0312244897959
4.45,1.73671859296,0.0312814070352
4.46,1.7362160804,0.031783919598
4.47,1.736,0.032
4.48,1.736,0.032
4.49,1.73543564356,0.032
4.5,1.73444554455,0.032
4.51,1.73480882353,0.032
4.52,1.73627941176,0.032
4.53,1.73675242718,0.032
4.54,1.73626699029,0.032
4.55,1.7362173913,0.032
4.56,1.73670048309,0.032
4.57,1.737,0.032
4.58,1.737,0.032
4.59,1.73673459716,0.032
4.6,1.73578672986,0.032
4.61,1.735,0.032
4.62,1.735,0.032
4.63,1.735,0.0319814814815
4.64,1.735,0.0315185185185
4.65,1.735,0.0310555555556
4.66,1.73378341014,0.031
