wavelength_nm,angle=0|pol=p|R,angle=0|pol=s|R,angle=30|pol=p|R,angle=30|pol=s|R,angle=45|pol=p|R,angle=45|pol=s|R
478.75,0.0006664735554601601,0.0006664735554601601,0.006215771910532482,0.002281120151389783,0.013211471800310398,0.021963762883915987
479.0,0.0006482167440666978,0.0006482167440666978,0.006165846401436897,0.0022989825553517843,0.012996301912668639,0.022085988181680737
479.25,0.0006297059274843092,0.0006297059274843092,0.006115718005700728,0.0023180333230898974,0.012782440814067896,0.02220709896525684
479.5,0.0006109648362473566,0.0006109648362473566,0.006065412873935766,0.0023382792646092433,0.01256991609406278,0.022327060625847446
479.75,0.0005920181419653138,0.0005920181419653138,0.006014956790922242,0.002359726374144898,0.012358754790075508,0.02244583899557358
480.0,0.0005728913977859071,0.0005728913977859071,0.005964375170671432,0.0023823798360178457,0.012148983387906294,0.02256340035694737
480.25,0.000554009508549868,0.000554009508549868,0.0059164767255451885,0.00240730274586895,0.011946611930627784,0.022682328916162457
480.5,0.0005350124938863827,0.0005350124938863827,0.005868475172909638,0.00243338363451066,0.011745582715707775,0.02279997321993784
480.75,0.0005159262707475997,0.0005159262707475997,0.005820393053673428,0.002460624203262964,0.011545919478219806,0.022916301867884938
481.0,0.000496777369885248,0.000496777369885248,0.005772252555580785,0.002489025429705753,0.011347645449012582,0.023031283935397974
481.25,0.0004775928868923648,0.0004775928868923648,0.00572407551020783,0.0025185875755295256,0.011150783355643555,0.0231448889806935
481.5,0.00045840043444694676,0.00045840043444694676,0.005675883390220842,0.0025493101947342994,0.010955355423407543,0.023257087051546596
481.75,0.0004392280957433916,0.0004392280957433916,0.005627697306890448,0.00258119214216189,0.010761383376458033,0.023367848691729275
482.0,0.0004201043790990788,0.0004201043790990788,0.005579538007856583,0.002614231582346882,0.010568888439023,0.023477144947150367
482.25,0.0004010581737218045,0.0004010581737218045,0.005531425875137093,0.002648425998672638,0.010377891336710706,0.023584947371709377
482.5,0.0003821187066249029,0.0003821187066249029,0.005483380923373972,0.002683772202816156,0.010188412297904908,0.023691228032858287
482.75,0.0003633155006762637,0.0003633155006762637,0.005435422798312323,0.0027202663444699966,0.010000471055248506,0.023795959516881748
483.0,0.0003446783337678332,0.0003446783337678332,0.0053875707755039436,0.0027579039213249316,0.009814086847214645,0.02389911493389739
483.25,0.00032623719909148294,0.00032623719909148294,0.005339843759232187,0.0027966797893023646,0.009629278419761753,0.024000667922580845
483.5,0.0003080222665083367,0.0003080222665083367,0.00529226028164967,0.0028365881730207762,0.009446064028073397,0.02410059265461867
483.75,0.00029006384499734447,0.00029006384499734447,0.005244838502127141,0.002877622676484562,0.009264461438380549,0.02419886383889459
484.0,0.000272392346169683,0.000272392346169683,0.0051975962068018175,0.0029197762939812575,0.00908448792986387,0.024295456725411987
484.25,0.0002550382488355853,0.0002550382488355853,0.005150550808326061,0.0029630414211756608,0.008906160296636363,0.02439034710895772
484.5,0.00023803206460969054,0.00023803206460969054,0.0051037193458070736,0.00300740986638658,0.008729494849803981,0.024483511332511153
484.75,0.0002214043045416099,0.0002214043045416099,0.00505711848493226,0.003052872862036049,0.008554507419602233,0.024574926290402168
485.0,0.00020518544675807434,0.00020518544675807434,0.00501076451827753,0.0030994210762573604,0.008381213357608568,0.024664569431223988
485.25,0.00018940590510323728,0.00018940590510323728,0.00496467336579066,0.003147044624650743,0.00820962753902837,0.024752418760502982
485.5,0.0001740959987635486,0.0001740959987635486,0.004918860575445265,0.0031957330821748035,0.00803976436505252,0.02483845284313081
485.75,0.00015928592286387365,0.00015928592286387365,0.004873341324061122,0.0032454754951634513,0.007871637765286587,0.024922650805563835
486.0,0.00014500572002153697,0.00014500572002153697,0.004828130418285921,0.0032962603934557906,0.007705261200249424,0.025004992337792943
486.25,0.00013128525284462024,0.00013128525284462024,0.00478324229573064,0.0033480758026284054,0.007540647663938535,0.025085457695088676
486.5,0.00011815417736153581,0.00011815417736153581,0.004738691026258445,0.003400909256320785,0.007377809686463503,0.02516402769952523
